comm_i,comm_j,n_companies,exit_rate,failure_rate,ipo_rate,ma_rate,survival_rate,avg_capital,avg_rounds,risk_adjusted
0,7,396,4.292929292929292,4.040404040404041,1.0101010101010102,3.2828282828282833,91.66666666666666,10.146263264665853,9.984848484848484,0.2525252525252517
0,16,38,5.263157894736842,0.0,2.631578947368421,2.631578947368421,94.73684210526316,24.878492029367028,11.552631578947368,5.263157894736842
0,23,59,6.779661016949152,3.389830508474576,1.694915254237288,5.084745762711865,89.83050847457626,16.879318924235175,11.898305084745763,3.389830508474576
1,3,775,6.322580645161291,5.290322580645161,0.6451612903225806,5.67741935483871,88.38709677419355,11.792314409630222,7.8425806451612905,1.03225806451613
1,16,136,3.6764705882352944,0.0,2.941176470588235,0.7352941176470588,96.32352941176471,13.907017186677876,9.073529411764707,3.6764705882352944
1,23,121,9.090909090909092,7.43801652892562,0.8264462809917356,8.264462809917356,83.47107438016529,21.935643707942525,8.727272727272727,1.6528925619834718
3,16,116,3.4482758620689653,0.8620689655172413,1.7241379310344827,1.7241379310344827,95.68965517241381,19.769384161568563,8.663793103448276,2.586206896551724
3,23,117,10.256410256410255,6.837606837606838,1.7094017094017095,8.547008547008547,82.90598290598291,23.317459823071662,8.205128205128204,3.4188034188034173
7,16,164,5.487804878048781,0.6097560975609756,3.6585365853658534,1.8292682926829267,93.90243902439023,21.976275276899916,8.060975609756097,4.878048780487806
7,23,136,8.088235294117647,4.411764705882353,1.4705882352941175,6.61764705882353,87.5,23.566682368962436,8.330882352941176,3.6764705882352935
16,23,14,0.0,0.0,0.0,0.0,100.0,48.036401709401694,6.785714285714286,0.0
5,16,50,8.0,0.0,6.0,2.0,92.0,38.34102349772708,11.08,8.0
13,16,23,8.695652173913043,0.0,8.695652173913043,0.0,91.30434782608697,42.122774830242214,10.130434782608695,8.695652173913043
4,19,36,11.11111111111111,2.7777777777777777,0.0,11.11111111111111,86.1111111111111,28.495884952465833,7.777777777777778,8.333333333333332
7,15,157,6.369426751592357,1.910828025477707,0.6369426751592357,5.7324840764331215,91.71974522292994,9.301776065102988,9.445859872611464,4.45859872611465
10,13,25,16.0,0.0,8.0,8.0,84.0,47.092814025974015,11.32,16.0
10,15,71,5.633802816901409,0.0,1.4084507042253522,4.225352112676056,94.36619718309859,11.646772350606907,8.309859154929578,5.633802816901409
13,15,24,12.5,0.0,4.166666666666666,8.333333333333332,87.5,24.56523088023088,12.458333333333334,12.5
14,15,39,12.82051282051282,0.0,2.564102564102564,10.256410256410255,87.17948717948718,20.3125141098218,10.025641025641026,12.82051282051282
15,19,12,8.333333333333332,0.0,8.333333333333332,0.0,91.66666666666666,44.925013888888884,6.833333333333333,8.333333333333332
7,12,120,5.0,5.0,1.6666666666666667,3.3333333333333335,89.99999999999999,14.579376987158502,9.116666666666667,0.0
1,6,591,5.922165820642978,4.568527918781726,0.8460236886632826,5.0761421319796955,89.5093062605753,7.451071957958118,9.089678510998308,1.3536379018612523
1,10,172,2.9069767441860463,2.9069767441860463,0.0,2.9069767441860463,94.1860465116279,10.500442683531745,8.470930232558139,0.0
1,13,119,9.243697478991598,3.361344537815126,2.5210084033613445,6.722689075630252,87.39495798319328,26.067547004230953,9.478991596638656,5.882352941176471
3,10,128,3.90625,4.6875,0.0,3.90625,91.40625,14.388240457294026,7.7265625,-0.78125
3,14,308,8.441558441558442,4.545454545454546,1.6233766233766231,6.8181818181818175,87.01298701298703,20.737868542915415,6.675324675324675,3.896103896103896
6,10,83,2.4096385542168677,0.0,0.0,2.4096385542168677,97.59036144578313,13.318329397874853,9.55421686746988,2.4096385542168677
6,14,138,5.072463768115942,5.072463768115942,1.4492753623188406,3.6231884057971016,89.85507246376811,18.923212668663034,8.876811594202898,0.0
6,23,66,3.0303030303030303,4.545454545454546,0.0,3.0303030303030303,92.42424242424244,14.35707943423184,10.969696969696969,-1.5151515151515156
10,23,13,7.6923076923076925,7.6923076923076925,0.0,7.6923076923076925,84.61538461538463,41.281667277167266,7.923076923076923,0.0
13,23,16,18.75,12.5,6.25,12.5,68.75,55.412406250000004,8.875,6.25
14,23,40,17.5,0.0,2.5,15.0,82.5,39.52740681818182,7.7,17.5
3,9,112,7.142857142857142,8.035714285714286,2.6785714285714284,4.464285714285714,84.82142857142857,19.051061523955845,9.839285714285714,-0.8928571428571441
7,9,154,7.792207792207792,5.194805194805195,2.5974025974025974,5.194805194805195,87.01298701298701,20.579980778019312,9.493506493506494,2.5974025974025974
9,14,48,12.5,6.25,4.166666666666666,8.333333333333332,81.25,36.59875719072594,7.770833333333333,6.25
1,4,586,4.948805460750854,6.655290102389079,0.3412969283276451,4.607508532423208,88.39590443686008,7.145114222226371,8.356655290102388,-1.7064846416382258
3,4,427,5.85480093676815,6.0889929742388755,0.702576112412178,5.152224824355972,88.05620608899298,8.743866753648799,7.852459016393443,-0.23419203747072537
4,7,554,6.859205776173286,4.1516245487364625,0.5415162454873645,6.31768953068592,88.98916967509025,11.708500713526545,8.131768953068592,2.7075812274368234
4,13,140,7.142857142857142,7.142857142857142,0.7142857142857143,6.428571428571428,85.71428571428572,14.928639336463835,8.842857142857143,0.0
4,14,254,6.299212598425196,4.330708661417323,0.39370078740157477,5.905511811023622,89.37007874015748,15.07919357020845,6.7952755905511815,1.9685039370078732
3,19,28,3.571428571428571,7.142857142857142,0.0,3.571428571428571,89.28571428571429,34.33059130849309,6.928571428571429,-3.571428571428571
3,21,118,7.627118644067797,5.084745762711865,1.694915254237288,5.932203389830509,87.28813559322035,16.059692077474025,8.576271186440678,2.5423728813559316
7,21,130,11.538461538461538,5.384615384615385,3.076923076923077,8.461538461538462,83.07692307692307,17.792163915250782,9.0,6.153846153846153
14,21,51,13.725490196078432,3.9215686274509802,3.9215686274509802,9.803921568627452,82.3529411764706,25.391695758489877,8.529411764705882,9.803921568627452
