comm_i,comm_j,n_companies,exit_rate,failure_rate,risk_adjusted,avg_capital,geo_comp,type_comp,green_comp,stage_comp,size_comp,same_geo
9,13,14.0,21.428571428571427,0.0,21.428571428571427,51.60921225203368,0.5760471531992335,0.18829049766316908,0.07046419098143232,0.09646986262413788,177.54160740659242,0
9,21,24.0,12.5,8.333333333333332,4.166666666666668,23.209788926049796,0.35278573883673864,0.16471203286438635,0.01033400663684894,0.24266422193240383,29.225646420249074,1
9,23,20.0,10.0,5.0,5.0,23.232737074690018,0.3590909928022136,0.06858933524806952,0.043103448275862134,0.23070833193009513,28.87022634135216,1
13,21,17.0,5.88235294117647,11.76470588235294,-5.88235294117647,43.907741445441815,0.5218204311555281,0.024021308501083524,0.08079819761828126,0.20173701308691538,206.76725382684148,0
21,23,15.0,13.333333333333334,0.0,13.333333333333334,32.94934708994709,0.14885315608294214,0.09670681708670234,0.053437454912711076,0.08695488489328848,0.35542007889691263,1
1,5,377.0,7.6923076923076925,6.631299734748011,1.0610079575596814,9.469524272749512,0.5525055059773738,0.19324841055920214,0.10955088843292955,0.10012983303578701,1.5931873303829924,0
1,11,233.0,6.008583690987124,5.579399141630901,0.42918454935622297,6.439130913130913,0.5299097875024908,0.08894136328683079,0.024230039776728135,0.056504993566100364,13.95757813300649,0
3,5,256.0,7.03125,2.734375,4.296875,8.272285414055732,0.6349425850605344,0.24573873811335867,0.1526636558486728,0.1263171487627363,6.99398146333327,0
0,13,38.0,7.894736842105263,5.263157894736842,2.6315789473684212,24.723338652575503,0.6200545311923954,0.16834741713605278,0.048660968660968675,0.48843473804055826,218.36623177388773,0
0,17,9.0,11.11111111111111,0.0,11.11111111111111,26.069696649029986,0.6872522989537166,0.21050758891651378,0.02319177816560014,0.5541968965917625,34.04603276411105,0
0,21,54.0,7.4074074074074066,5.555555555555555,1.8518518518518512,11.047021601854935,0.246551425679457,0.1915643073731456,0.12945916627924994,0.5960735110888931,11.598977947046237,1
0,26,9.0,11.11111111111111,0.0,11.11111111111111,30.078857142857146,0.7211568468603148,0.1374216327713381,0.037118886842643806,0.5785118558562143,5.5727907578717595,0
13,17,13.0,0.0,0.0,0.0,29.971547619047623,0.13170416573160906,0.0437049367132762,0.025469190495368537,0.20028454197866002,184.32019900977667,1
13,26,12.0,0.0,0.0,0.0,23.975783882783876,0.229673216558163,0.03178731284430673,0.08577985550361249,0.20426913368252203,212.79344101601598,1
0,8,119.0,3.361344537815126,4.201680672268908,-0.8403361344537816,6.219095416325038,0.6947332639722084,0.19723808424028544,0.15657553716244457,0.5643813643988935,8.727603597695463,0
1,8,205.0,4.878048780487805,3.414634146341464,1.463414634146341,9.952631003013856,0.48993871215564405,0.11671026861987646,0.09983989171816837,0.09770707395981885,7.090078894828956,0
7,8,245.0,8.16326530612245,3.2653061224489797,4.8979591836734695,12.105024311122763,0.6487513330502841,0.13751206748529562,0.07117248705351216,0.13381503199474276,44.46678474578914,0
0,9,101.0,5.9405940594059405,7.920792079207921,-1.9801980198019802,7.035974863044836,0.35395076168907497,0.34816704561331024,0.119125159642401,0.5234351059056741,40.824624367295314,1
3,8,167.0,5.389221556886228,1.7964071856287425,3.5928143712574854,10.829532972247145,0.6454470931446201,0.17004616752752563,0.05672712430242512,0.15199662809219652,1.6892847618786782,0
8,9,33.0,6.0606060606060606,3.0303030303030303,3.0303030303030303,9.076688732683087,0.6138628605616154,0.15890971185308206,0.03745037752004357,0.21837639930793823,32.09702076959985,0
8,13,21.0,14.285714285714285,9.523809523809524,4.761904761904761,35.57772687728938,0.682022286891273,0.02990945739567214,0.1079145685014759,0.15155587206417892,209.63862817619227,0
8,16,44.0,6.8181818181818175,2.272727272727273,4.545454545454545,18.82247319719576,0.08973532616550474,0.09912973606311788,0.06924957821687201,0.12900971220344132,19.506587463824946,1
9,16,24.0,12.5,4.166666666666666,8.333333333333334,18.196122770345596,0.6124875512773413,0.25546622734606267,0.031799200696828435,0.21267202714555347,12.590433305774901,0
3,17,33.0,12.121212121212121,6.0606060606060606,6.0606060606060606,19.58053270803271,0.5761112316759877,0.1564437422007288,0.07665663469441931,0.07395099734675956,23.62914440453691,0
7,17,55.0,7.2727272727272725,1.8181818181818181,5.454545454545454,13.016999265138157,0.53904714689721,0.12383959578146088,0.06221127194333228,0.20169160520493404,19.14835557937355,0
0,10,35.0,2.857142857142857,0.0,2.857142857142857,10.646879201680674,0.6710149553945811,0.22013009892651417,0.06394901394901396,0.5769217196606119,2.1293046026485722,0
0,14,67.0,5.970149253731343,1.4925373134328357,4.477611940298507,17.437443594133892,0.47071077518583343,0.3892954955063363,0.19173789173789174,0.6181917382492569,69.99590134777452,0
9,10,21.0,9.523809523809524,4.761904761904762,4.761904761904762,22.359395382395377,0.5826717240608266,0.1353510427327676,0.055176145693387045,0.16878286307904758,38.69531976464674,0
1,26,29.0,3.4482758620689653,6.896551724137931,-3.4482758620689653,15.264092775041052,0.4801782219944556,0.17753821199447933,0.09385453228692,0.08281158092335922,10.24489173465266,0
3,26,27.0,14.814814814814813,0.0,14.814814814814813,31.522454282896586,0.6068187741869087,0.23023830013611618,0.13696729970266325,0.08961937428149673,4.844097601702382,0
5,26,15.0,6.666666666666667,20.0,-13.333333333333332,27.613321559392993,0.15190648289213507,0.01610607551586887,0.01569635614600955,0.11999015818367882,11.838079065035652,1
7,26,34.0,17.647058823529413,0.0,17.647058823529413,27.767953926282054,0.5734802495974297,0.19810875712991033,0.12252193695157622,0.1766660346975059,47.62159758561284,0
4,18,182.0,6.043956043956044,7.142857142857142,-1.0989010989010985,5.080061927903156,0.05605913810161892,0.03331372103170285,0.0161475200035612,0.05513620255919477,7.051076805671025,1
7,18,97.0,6.185567010309279,5.154639175257731,1.0309278350515472,10.736492460116636,0.5585313428009624,0.17402760800045455,0.1081203689702101,0.1696726942862551,54.07841283599626,0
13,18,44.0,11.363636363636363,11.363636363636363,0.0,8.389337150575523,0.1324275417455736,0.007152437948454236,0.07137828752224636,0.1736951034584815,219.2502562663994,1
14,18,72.0,5.555555555555555,2.7777777777777777,2.7777777777777777,13.050508011664261,0.2941256049486175,0.2387752767714026,0.21445521059916942,0.17086207400753273,70.87992584028619,1
4,6,320.0,2.8125,4.6875,-1.875,6.3719411162941295,0.6304190923295339,0.047910709636639605,0.11621711621711618,0.14472344646112728,5.3059186698749965,0
6,19,16.0,12.5,6.25,6.25,26.366423809523813,0.7676369146450759,0.21595643432799883,0.07336548801516947,0.2094526534583733,175.40452197481946,0
1,15,168.0,6.547619047619048,3.571428571428571,2.976190476190477,5.802076487910892,0.48843965824586555,0.07719473858557102,0.130696340833543,0.09794300386806114,11.031042075749124,0
3,15,109.0,9.174311926605505,1.834862385321101,7.339449541284404,5.963896888333513,0.5919093435801046,0.13080949628760513,0.17380910824928628,0.17025409236185182,5.630247942798846,0
4,15,143.0,9.090909090909092,4.195804195804196,4.895104895104896,5.070481387858173,0.5427339390900481,0.04346252976427317,0.03509585652442795,0.12847906112751017,1.380411896384068,0
6,15,101.0,3.9603960396039604,1.9801980198019802,1.9801980198019802,7.484879952530462,0.6306773899579219,0.004453742505478694,0.15131297274154412,0.1026468790652424,3.9255067734909286,0
4,5,416.0,6.730769230769231,4.807692307692308,1.9230769230769225,7.038302843767417,0.06284128711908384,0.07396035285443135,0.013950404123814479,0.06470043946559924,11.243817509748048,1
2,6,215.0,0.9302325581395349,4.186046511627907,-3.2558139534883725,4.693426305044162,0.620618564998413,0.04840113966213695,0.0901147821250914,0.06045893625762386,2.6934772002172984,0
2,14,112.0,0.8928571428571428,4.464285714285714,-3.5714285714285716,7.938367113773078,0.304646703748891,0.20687990660430147,0.20450039651070584,0.2205386380283051,71.82824490470746,1
1,2,330.0,1.5151515151515151,7.878787878787878,-6.363636363636363,4.687582588134379,0.5166005269743055,0.12091112709727252,0.06949815021709028,0.11538935666745145,17.650026049457352,0
2,5,194.0,3.0927835051546393,8.24742268041237,-5.154639175257731,5.109473696111535,0.0605541447209371,0.07347128388463113,0.04005273821583927,0.05345224715816506,19.24321337984034,1
2,7,317.0,3.1545741324921135,4.73186119873817,-1.5772870662460567,7.097531559780036,0.5572269904526816,0.14170032442533342,0.0981655548817465,0.19045209153754372,55.02673190041753,0
2,8,65.0,3.076923076923077,6.153846153846154,-3.076923076923077,7.512053546713703,0.6911490505625318,0.004236577263533399,0.16933804193525867,0.15488903104318882,10.559947154628395,0
5,8,89.0,5.617977528089887,10.112359550561797,-4.4943820224719095,6.068642125293009,0.7037898119589443,0.07768907641488886,0.20939078015109794,0.16536981592279676,8.683266225211948,0
1,24,140.0,7.142857142857142,7.142857142857142,0.0,8.17594839330953,0.2196824076823984,0.06748332435425505,0.02735291238729836,0.2443837528790491,15.654533288638724,1
3,24,154.0,6.493506493506493,8.441558441558442,-1.9480519480519494,7.712120225768184,0.11948770811889155,0.12115188866815084,0.01575985502844489,0.16151297189937788,10.253739155688447,1
