investor,green_focus,investor_type,betweenness,degree,total_deals,n_green_neighbors,n_trad_neighbors,cross_type,bridge_score
Valor Equity Partners,TRADITIONAL,IVC,0.006365760703987204,459,50,206,235,True,310.98014191118295
Antler,TRADITIONAL,IVC,0.006315155843984993,156,97,100,55,True,35.71852145357912
Cathay Innovation,GREEN_VC,IVC,0.006245319840315032,48,10,25,22,True,3.7347012645083897
Elemental Impact,GREEN_VC,Impact_VC,0.006231822697418028,292,96,197,88,True,109.8171795739005
Entrepreneurs First,TRADITIONAL,IVC,0.006175788664659388,203,56,131,70,True,57.87949136518779
Extantia Capital,GREEN_VC,IVC,0.005965357796789029,106,24,82,21,True,10.892743336936766
Fifty Years,GREEN_VC,IVC,0.005956200524644535,306,37,160,139,True,134.25275982548783
EIT Food,GREEN_VC,GVC,0.0058492213750483335,46,147,36,9,True,2.1642119087678835
Chaoxi Capital,TRADITIONAL,OTHER,0.005846271637947223,69,17,34,35,True,7.366302263813502
The Grantham Foundation,GREEN_VC,Impact_VC,0.0057400837843569206,264,58,193,70,True,79.06391404573222
Mana Ventures,GREEN_VC,IVC,0.005717305628438444,208,22,114,87,True,57.85913295979706
Club degli investitori,TRADITIONAL,Angel_Network,0.005698187337649004,75,12,48,24,True,6.980279488620029
SE Ventures,ESG_ALIGNED,CVC,0.0056632052367675875,149,29,97,47,True,26.639717433754733
Prelude Ventures,GREEN_VC,Impact_VC,0.005483058057031047,338,68,203,127,True,143.1736119851947
BoxGroup,TRADITIONAL,IVC,0.005467880596951071,248,30,135,108,True,81.05586196920267
Active Impact Investments,GREEN_VC,IVC,0.005409155980513061,141,35,92,44,True,22.63731777844716
AENU,GREEN_VC,IVC,0.00532986063243423,193,35,113,72,True,44.35510018311766
Better Bite Ventures,GREEN_VC,IVC,0.005320871779458948,139,27,92,46,True,23.257530548015062
CPT Capital,GREEN_VC,IVC,0.0051975034450617305,315,47,140,165,True,121.65276563511486
Sustainable Development Technology Canada,GREEN_VC,GVC,0.005172099833573366,171,120,87,81,True,37.32187239906541
Accel,TRADITIONAL,IVC,0.005057896492407582,187,32,82,95,True,40.301319251503614
Shunwei Capital,TRADITIONAL,IVC,0.005055404348816493,67,19,28,38,True,5.717662318511454
Modelio Equity,GREEN_VC,GVC,0.005004047672588261,19,2,15,4,True,0.4003238138070609
Toyota Ventures,GREEN_VC,CVC,0.004945240347322035,233,36,133,91,True,60.96492300178605
EDP Ventures,GREEN_VC,GVC,0.00483860469961318,122,27,91,29,True,13.354548970932376
IndieBio,GREEN_VC,IVC,0.0046989591702642376,270,108,163,100,True,77.83355969625683
Ant Group,TRADITIONAL,OTHER,0.0046973614427147205,28,13,12,16,True,1.0381168788399533
Clean Energy Venture Group,GREEN_VC,Angel_Network,0.004679549908353538,165,33,102,55,True,26.991643871383207
Right Side Capital Management,TRADITIONAL,IVC,0.004661093786124981,135,39,76,53,True,19.38082796270767
Fredrik Hjelm,GREEN_VC,GVC,0.004658264054648182,17,3,10,5,True,0.30744542760678
CAS Star,GREEN_VC,IVC,0.004643654887903555,89,27,53,36,True,9.278022466031304
For Good Ventures,GREEN_VC,OTHER,0.004631435148662639,129,18,78,45,True,16.830635330240032
High-Tech Gründerfonds,GREEN_VC,GVC,0.004627146996944392,166,54,109,53,True,27.485253161849688
Asia Green Fund,GREEN_VC,GVC,0.004600625102859722,36,10,17,18,True,1.573413785178025
TRIREC,GREEN_VC,IVC,0.0045999557420582675,145,27,91,53,True,22.852580126545472
Innovate UK,GREEN_VC,GVC,0.004598177354604946,137,527,106,31,True,15.744159262167337
Aera VC,GREEN_VC,IVC,0.004520190742020015,179,20,101,75,True,35.04051863213916
Hitachi Ventures,ESG_ALIGNED,CVC,0.00451190462065914,175,17,108,61,True,30.491451426414468
Spectrum Impact,GREEN_VC,Impact_VC,0.004498162945648596,114,19,70,43,True,14.052261042206213
GIC Private,GREEN_VC,GVC,0.004490476899736243,136,18,78,54,True,19.51112212935398
Asymmetry Ventures,TRADITIONAL,IVC,0.0044607521946436355,197,23,121,71,True,39.1832472777497
ABB Ventures,GREEN_VC,GVC,0.00440301455820439,105,30,63,40,True,11.55351020072832
René de Jong,GREEN_VC,GVC,0.004391387452214975,10,3,7,3,True,0.1405243984708792
Avaana Capital,GREEN_VC,IVC,0.0043696399352918585,119,25,63,52,True,14.821818660509985
Massachusetts Clean Energy Center,GREEN_VC,GVC,0.004361744654832353,156,78,109,40,True,19.671468393293914
Mitsui Sumitomo Kaijo Capital,GREEN_VC,GVC,0.0043023928324909255,58,11,30,28,True,3.867851156409342
Lever VC,GREEN_VC,IVC,0.004286144861464572,115,38,71,43,True,13.578506921119764
MPC,GREEN_VC,GVC,0.0042712565562123715,116,21,70,45,True,13.949923912589606
Baidu Ventures,GREEN_VC,CVC,0.004256193527905889,60,13,33,27,True,4.051896238566407
VoLo Earth Ventures,GREEN_VC,IVC,0.004190460400293123,214,31,133,79,True,44.92173549114228
Leonardo DiCaprio,GREEN_VC,OTHER,0.0041845287887203675,113,13,52,59,True,13.30680154813077
Western Technology Investment,TRADITIONAL,IVC,0.0041687547205456026,132,19,60,70,True,18.054876694683006
Starlight Ventures,TRADITIONAL,OTHER,0.00416190544476986,275,29,155,109,True,71.41829743225081
FJ Labs,TRADITIONAL,Angel_Network,0.004154196248177558,203,37,94,101,True,40.254161644840536
Escape Velocity,TRADITIONAL,OTHER,0.004149440746201308,56,5,32,21,True,3.0124939817421494
Capital Factory,TRADITIONAL,OTHER,0.00413017422790692,132,54,73,54,True,16.809809107581163
Desai Ventures,GREEN_VC,IVC,0.004124307000046827,88,16,59,29,True,7.423752600084288
Artesian,GREEN_VC,IVC,0.004113974338020107,167,97,90,75,True,28.45224652174706
Infinite Capital,GREEN_VC,GVC,0.004085788350617689,51,7,25,22,True,2.443301433669378
At One Ventures,TRADITIONAL,OTHER,0.0040520163269663935,206,41,138,63,True,36.046737244693034
Big Idea Ventures,TRADITIONAL,OTHER,0.003967168539354666,189,82,114,68,True,31.479482359779276
Mitsui & Co,TRADITIONAL,GVC,0.0039206878440222965,157,22,88,67,True,23.728002832022938
bp Ventures,GREEN_VC,GVC,0.0038844609112107403,161,24,91,67,True,24.301187460534393
Venture Catalysts,GREEN_VC,IVC,0.0038842444748638833,82,18,36,44,True,6.467267050648365
Main Sequence Ventures,GREEN_VC,IVC,0.0038570021635990596,147,35,72,68,True,19.427719898048462
Emerson Collective,GREEN_VC,IVC,0.0038553374430357096,274,26,155,108,True,65.5561578813792
K2VC,GREEN_VC,OTHER,0.003840572008212294,36,17,21,15,True,1.3518813468907276
TO VC,GREEN_VC,GVC,0.0038383560186053866,190,16,109,77,True,32.93309463963422
