investor,green_focus,investor_type,betweenness,degree,total_deals,n_green_neighbors,n_trad_neighbors,cross_type,bridge_score
Sente Ventures,ESG_ALIGNED,IVC,5.621767483696874e-05,3,3,0,2,False,0.00016865302451090622
BP,TRADITIONAL,GVC,5.621767483696874e-05,4,4,4,0,False,0.00028108837418484373
Capital Science and Technology Development Group,GREEN_VC,GVC,5.621767483696874e-05,3,2,3,0,False,0.00022487069934787497
Xiandong Jing,GREEN_VC,GVC,5.621767483696874e-05,3,3,3,0,False,0.00022487069934787497
Centrepolis Accelerator,TRADITIONAL,OTHER,5.621767483696874e-05,2,8,2,0,False,0.00016865302451090622
Founders at the University of Cambridge,GREEN_VC,University_VC,5.621767483696874e-05,2,6,1,1,True,0.00022487069934787497
Enterprise Ventures,GREEN_VC,GVC,5.621767483696874e-05,3,2,1,2,True,0.00033730604902181243
DL Capital,GREEN_VC,GVC,5.621767483696874e-05,2,2,0,2,False,0.00016865302451090622
Maine Technology Institute,GREEN_VC,GVC,5.621767483696874e-05,4,8,2,2,True,0.0005059590735327186
Interalloys,GREEN_VC,GVC,5.621767483696874e-05,3,2,1,2,True,0.00033730604902181243
Diffusion Capital Partners,GREEN_VC,IVC,5.621767483696874e-05,3,2,2,1,True,0.00033730604902181243
Land Innovation Fund,GREEN_VC,GVC,5.621767483696874e-05,2,3,2,0,False,0.00016865302451090622
Zifeng Capital,TRADITIONAL,OTHER,5.621767483696874e-05,9,2,6,3,True,0.0015740948954351248
Vinci Immobilier,TRADITIONAL,GVC,5.621767483696874e-05,4,2,2,2,True,0.0005059590735327186
ATW Partners,TRADITIONAL,IVC,5.621767483696874e-05,5,5,3,2,True,0.0006746120980436249
Wisemen Capital,TRADITIONAL,OTHER,5.621767483696874e-05,3,2,2,1,True,0.00033730604902181243
Nobels,TRADITIONAL,OTHER,5.621767483696874e-05,2,2,1,1,True,0.00022487069934787497
Changzhou Venture Capital Group,GREEN_VC,GVC,5.621767483696874e-05,11,2,10,1,True,0.0012367888464133124
Blockchain Capital,GREEN_VC,IVC,5.621767483696874e-05,3,2,2,0,False,0.00016865302451090622
Elevat3 Capital,GREEN_VC,CVC,5.621767483696874e-05,5,2,3,2,True,0.0006746120980436249
100X.VC,GREEN_VC,IVC,5.621767483696874e-05,2,6,2,0,False,0.00016865302451090622
Sixth Wave Ventures,GREEN_VC,IVC,5.621767483696874e-05,3,2,3,0,False,0.00022487069934787497
DHS Science and Technology Directorate,GREEN_VC,GVC,5.621767483696874e-05,5,2,4,1,True,0.0005621767483696875
SouthUp Ventures,GREEN_VC,OTHER,5.621767483696874e-05,2,4,1,0,False,0.00011243534967393749
Fark Labs,TRADITIONAL,OTHER,5.621767483696874e-05,2,2,0,0,False,5.621767483696874e-05
Guangrong Semiconductor Lighting Investment Management,GREEN_VC,GVC,5.621767483696874e-05,3,2,2,1,True,0.00033730604902181243
Transocean,TRADITIONAL,GVC,5.621767483696874e-05,2,1,2,0,False,0.00016865302451090622
Ningbo Angel Capital Guiding Fund,TRADITIONAL,OTHER,5.621767483696874e-05,3,2,3,0,False,0.00022487069934787497
Yunmu Capital,TRADITIONAL,OTHER,5.621767483696874e-05,4,2,1,3,True,0.00044974139869574995
Energy Catalyst,GREEN_VC,GVC,5.621767483696874e-05,4,52,4,0,False,0.00028108837418484373
Ian Bruce,TRADITIONAL,GVC,5.621767483696874e-05,2,1,2,0,False,0.00016865302451090622
The Bond Fund,TRADITIONAL,OTHER,5.621767483696874e-05,9,2,3,4,True,0.001124353496739375
European Space Agency BIC UK,GREEN_VC,GVC,5.621767483696874e-05,2,6,2,0,False,0.00016865302451090622
Estonian Cleantech Association,GREEN_VC,GVC,5.621767483696874e-05,2,14,1,0,False,0.00011243534967393749
RIMIX,TRADITIONAL,University_VC,5.621767483696874e-05,3,6,2,1,True,0.00033730604902181243
FineWill Capital,TRADITIONAL,OTHER,5.621767483696874e-05,3,7,2,1,True,0.00033730604902181243
Virtual Network,TRADITIONAL,GVC,5.621767483696874e-05,2,2,1,1,True,0.00022487069934787497
Woodside Energy Group,TRADITIONAL,GVC,5.621767483696874e-05,5,3,2,3,True,0.0006746120980436249
Initiative France,GREEN_VC,GVC,5.621767483696874e-05,2,2,2,0,False,0.00016865302451090622
Korea Venture Investment,GREEN_VC,GVC,5.621767483696874e-05,4,3,1,3,True,0.00044974139869574995
ABC Capital,GREEN_VC,GVC,5.621767483696874e-05,3,3,1,2,True,0.00033730604902181243
Euronext,GREEN_VC,GVC,5.621767483696874e-05,2,2,2,0,False,0.00016865302451090622
Nordic Environment Finance,GREEN_VC,GVC,5.621767483696874e-05,2,3,2,0,False,0.00016865302451090622
District Ventures Capital,GREEN_VC,IVC,5.621767483696874e-05,5,3,3,2,True,0.0006746120980436249
Airbus Développement,GREEN_VC,GVC,5.621767483696874e-05,3,2,3,0,False,0.00022487069934787497
RWA Invest,GREEN_VC,GVC,5.621767483696874e-05,5,3,3,2,True,0.0006746120980436249
Electric Power Research Institute,GREEN_VC,IVC,5.621767483696874e-05,6,3,6,0,False,0.0003935237238587812
Kiwoom Investment,TRADITIONAL,OTHER,5.621767483696874e-05,3,2,0,3,False,0.00022487069934787497
Inventures Investment Partners,GREEN_VC,IVC,5.621767483696874e-05,3,2,2,1,True,0.00033730604902181243
Lucion Venture Capital,GREEN_VC,GVC,5.621767483696874e-05,3,2,1,2,True,0.00033730604902181243
Terraflos,GREEN_VC,OTHER,5.621767483696874e-05,4,3,2,1,True,0.00033730604902181243
ITU ARI Teknokent,TRADITIONAL,GVC,5.621767483696874e-05,4,7,4,0,False,0.00028108837418484373
Alfa Collab,TRADITIONAL,OTHER,5.621767483696874e-05,7,2,5,2,True,0.0010119181470654372
CNRS Innovation,GREEN_VC,GVC,5.621767483696874e-05,3,3,3,0,False,0.00022487069934787497
Shuimu Capital,GREEN_VC,OTHER,5.621767483696874e-05,10,2,2,8,True,0.001517877220598156
YSpace,TRADITIONAL,OTHER,5.621767483696874e-05,2,15,1,1,True,0.00022487069934787497
Impact Shakers,GREEN_VC,Impact_VC,5.621767483696874e-05,4,5,3,1,True,0.00044974139869574995
ON Semiconductor,TRADITIONAL,OTHER,5.621767483696874e-05,10,2,4,6,True,0.001967618619293906
Henglu Asset,TRADITIONAL,OTHER,5.621767483696874e-05,4,2,3,1,True,0.00044974139869574995
Technical University of Denmark,TRADITIONAL,University_VC,5.621767483696874e-05,3,12,3,0,False,0.00022487069934787497
McGill Dobson Centre for Entrepreneurship,TRADITIONAL,OTHER,5.621767483696874e-05,2,19,2,0,False,0.00016865302451090622
Infuse Ventures,TRADITIONAL,OTHER,5.621767483696874e-05,2,3,2,0,False,0.00016865302451090622
Gravity Ventures,TRADITIONAL,OTHER,5.621767483696874e-05,3,3,1,2,True,0.00033730604902181243
Rockspring,TRADITIONAL,GVC,5.621767483696874e-05,2,2,0,2,False,0.00016865302451090622
Xi'an Finance Investment Management,TRADITIONAL,GVC,5.621767483696874e-05,2,2,1,1,True,0.00022487069934787497
SaskWorks,GREEN_VC,IVC,5.621767483696874e-05,3,3,1,2,True,0.00033730604902181243
Apollo Global Management,TRADITIONAL,IVC,5.621767483696874e-05,2,3,0,2,False,0.00016865302451090622
L-Bank,TRADITIONAL,GVC,5.621767483696874e-05,2,6,1,1,True,0.00022487069934787497
Global Affairs Canada,GREEN_VC,GVC,5.621767483696874e-05,7,2,6,1,True,0.0007870474477175624
KfW Group,GREEN_VC,GVC,5.621767483696874e-05,3,9,3,0,False,0.00022487069934787497
Israel Electric,GREEN_VC,GVC,5.621767483696874e-05,2,2,2,0,False,0.00016865302451090622
TQ Ventures,TRADITIONAL,IVC,5.6163025639985704e-05,12,2,5,6,True,0.0023588470768793994
Steinsvik,GREEN_VC,GVC,5.6128854591379584e-05,7,1,5,2,True,0.0010103193826448325
SB Players,TRADITIONAL,GVC,5.602403884715617e-05,16,2,10,6,True,0.004313850991231025
Hanno Heintzenberg,GREEN_VC,GVC,5.601787424607604e-05,18,2,11,6,True,0.004705501436670387
Radar Ventures,TRADITIONAL,OTHER,5.592245444275559e-05,25,2,13,11,True,0.00939497234638294
North-East Venture,GREEN_VC,GVC,5.590923642581426e-05,8,5,4,4,True,0.0013977309106453565
Starwood Capital Group,TRADITIONAL,IVC,5.5906112479765874e-05,58,4,22,32,True,0.04243273937214229
Silverton Partners,TRADITIONAL,IVC,5.5904236418659733e-05,14,6,1,12,True,0.001453510146885153
Squarepoint Capital,TRADITIONAL,IVC,5.586375769861359e-05,19,2,10,8,True,0.005530512012162745
Riverbend Energy Group,GREEN_VC,IVC,5.583761982119769e-05,6,2,3,3,True,0.0008934019171391631
Par Equity,GREEN_VC,GVC,5.581577640682374e-05,15,9,13,2,True,0.0023442626090865973
Carbon13,GREEN_VC,Impact_VC,5.57902361565765e-05,29,51,22,7,True,0.010265403452810075
Piton Capital,TRADITIONAL,IVC,5.568639433203223e-05,12,3,8,4,True,0.00250588774494145
Climate Avengers,GREEN_VC,OTHER,5.5681329991179216e-05,23,2,12,9,True,0.007238572898853298
AP Fonden 3,GREEN_VC,GVC,5.568045084443961e-05,42,2,21,17,True,0.022049458534398086
Ontario Municipal Employees Retirement System,TRADITIONAL,GVC,5.568045084443961e-05,42,2,22,16,True,0.02177105628017589
Första AP-fonden,GREEN_VC,GVC,5.568045084443961e-05,42,2,21,17,True,0.022049458534398086
Fjärde AP-fonden,GREEN_VC,GVC,5.568045084443961e-05,42,2,21,17,True,0.022049458534398086
CVX Ventures,TRADITIONAL,CVC,5.566681826583297e-05,11,10,8,3,True,0.002004005457569987
SK tes,TRADITIONAL,OTHER,5.5646757544891504e-05,20,3,17,3,True,0.004006566543232188
CLP CICC Fund,GREEN_VC,GVC,5.557621610375384e-05,19,2,9,10,True,0.006113383771412921
Tofino Capital,GREEN_VC,IVC,5.555667295229141e-05,21,3,4,17,True,0.005000100565706226
China Southern Power Grid Technology,GREEN_VC,GVC,5.550562378294908e-05,10,2,5,4,True,0.0016651687134884724
Blue Wire Capital,TRADITIONAL,IVC,5.5436931487619435e-05,25,3,11,13,True,0.009313404489920065
Marc Tarpenning,TRADITIONAL,OTHER,5.541420647144713e-05,43,4,23,17,True,0.02393893719566516
NZVC,GREEN_VC,IVC,5.5382112540352965e-05,20,4,13,7,True,0.006202796604519532
RRE Ventures,TRADITIONAL,IVC,5.537473764804404e-05,15,3,6,8,True,0.0034886084718267745
Drive Capital,TRADITIONAL,IVC,5.526240239452405e-05,6,2,3,3,True,0.0008841984383123848
Carbon Equity,GREEN_VC,IVC,5.525617832932264e-05,35,3,24,11,True,0.01657685349879679
DNV Ventures,GREEN_VC,GVC,5.52321457593707e-05,30,4,20,9,True,0.01159875060946785
Spider Capital,TRADITIONAL,IVC,5.520720682535393e-05,9,2,3,4,True,0.0011041441365070787
Alaska Star Ventures,TRADITIONAL,OTHER,5.5204491038856164e-05,39,2,29,10,True,0.018217482042822534
Khwarizmi Ventures,GREEN_VC,GVC,5.5137621106452224e-05,40,3,24,15,True,0.02205504844258089
Skyview Fund,TRADITIONAL,OTHER,5.5119780060750096e-05,17,3,13,4,True,0.003858384604252507
Embark Ventures,GREEN_VC,IVC,5.498397854817997e-05,43,7,30,13,True,0.023863046689910107
Nelnet,TRADITIONAL,GVC,5.490324429594077e-05,9,2,7,2,True,0.0013176778631025785
Rhodium,TRADITIONAL,IVC,5.4894476775048776e-05,13,3,7,6,True,0.0030740906994027313
DST Global,TRADITIONAL,IVC,5.486417550423445e-05,10,3,3,7,True,0.0017556536161355025
Deep Insight,GREEN_VC,GVC,5.481185008192628e-05,41,3,20,21,True,0.025323074737849942
Nat Friedman,TRADITIONAL,OTHER,5.476081179511928e-05,35,4,18,15,True,0.016647286785716264
Primepulse,GREEN_VC,OTHER,5.460635519968431e-05,37,3,21,15,True,0.019221437030288877
Wilco,TRADITIONAL,OTHER,5.4553623645816464e-05,13,14,8,3,True,0.001963930451249393
Accident Compensation Corporation,TRADITIONAL,GVC,5.45361965863908e-05,18,2,8,10,True,0.005399083462052689
StarSeed,TRADITIONAL,OTHER,5.432740300160872e-05,15,2,11,4,True,0.003259644180096523
another.vc,GREEN_VC,IVC,5.422182217051983e-05,27,3,21,6,True,0.008350160614260053
Bricks Capital Management,GREEN_VC,IVC,5.4204345552945075e-05,27,3,17,8,True,0.008781103979577102
Ashish Kacholia,TRADITIONAL,OTHER,5.4076288175746146e-05,4,1,2,2,True,0.0004866865935817153
Pransh Capital Partners,TRADITIONAL,IVC,5.4076288175746146e-05,4,1,2,2,True,0.0004866865935817153
Courtney Reum,TRADITIONAL,OTHER,5.407595332325585e-05,15,2,10,5,True,0.003569012919334886
Mizuho Bank,TRADITIONAL,GVC,5.4051404186696754e-05,46,7,22,24,True,0.031079557407350633
CRIT,GREEN_VC,OTHER,5.3971803611883935e-05,5,1,3,2,True,0.0006476616433426072
Bow Capital,TRADITIONAL,IVC,5.396390901965834e-05,31,4,19,11,True,0.012951338164718
Vertical Venture Partners,TRADITIONAL,IVC,5.391028835133839e-05,19,4,8,11,True,0.005822311141944546
Autotech Ventures,GREEN_VC,IVC,5.388257119137314e-05,21,2,11,9,True,0.006465908542964777
Kibo Ventures,TRADITIONAL,IVC,5.387570295484818e-05,37,8,20,16,True,0.0192336259548808
Green Circle Foodtech Ventures,GREEN_VC,IVC,5.381157674448733e-05,22,4,13,9,True,0.007533620744228226
SeedFord Partners,TRADITIONAL,IVC,5.373023184087564e-05,37,2,23,13,True,0.018053357898534215
Globivest,TRADITIONAL,IVC,5.3714067183499535e-05,27,3,12,14,True,0.01047424310078241
Ningbo Development & Investment Group,GREEN_VC,GVC,5.3665620967685016e-05,19,3,12,7,True,0.005581224580639242
AIX Ventures,TRADITIONAL,IVC,5.366088630096199e-05,18,3,5,13,True,0.004507514449280808
Cocoon Capital,GREEN_VC,IVC,5.363300540762044e-05,18,2,8,10,True,0.005309667535354424
Mirova Natural Capital,GREEN_VC,GVC,5.362711585042855e-05,11,3,8,3,True,0.0019305761706154276
Beiersdorf,TRADITIONAL,GVC,5.334327615322275e-05,23,4,11,11,True,0.007681431766064075
JEREMIE Auvergne,GREEN_VC,GVC,5.327221362021441e-05,5,3,2,3,True,0.0006392665634425729
The Nature Conservancy,GREEN_VC,GVC,5.3236579461206255e-05,46,6,34,11,True,0.02235936337370663
Torch Capital,GREEN_VC,OTHER,5.317684951082041e-05,17,3,14,3,True,0.0031906109706492246
Wyndham Wealth,TRADITIONAL,IVC,5.314174079200229e-05,27,4,14,12,True,0.010362639454440447
Atacama Ventures,TRADITIONAL,IVC,5.310273244731613e-05,32,2,16,13,True,0.012638450322461239
Mission Bay Capital,GREEN_VC,IVC,5.307047267535776e-05,26,5,18,7,True,0.00806671184665438
Stora Enso,GREEN_VC,GVC,5.3032755431278075e-05,9,5,5,4,True,0.0015909826629383421
Rianta Capital Zurich,TRADITIONAL,OTHER,5.300000655374714e-05,6,2,3,3,True,0.0008480001048599543
Axle Impact Investment,GREEN_VC,Impact_VC,5.29484894661808e-05,7,2,3,4,True,0.001058969789323616
Moral Stone,GREEN_VC,GVC,5.280992973828622e-05,13,3,8,5,True,0.0028517362058674556
Alpha Edison,GREEN_VC,IVC,5.277536638928282e-05,40,3,8,32,True,0.015674283817617
E Fund Management,TRADITIONAL,IVC,5.276410789510503e-05,23,3,12,11,True,0.008231200831636386
Yakumi Investment,TRADITIONAL,Angel_Network,5.269572156479409e-05,18,2,10,6,True,0.004057570560489145
McCain Foods,ESG_ALIGNED,OTHER,5.2681689783529536e-05,33,4,11,19,True,0.012643605548047089
Great Circle Ventures,GREEN_VC,IVC,5.2613956217920416e-05,25,3,16,7,True,0.007155498045637177
Camber Creek,TRADITIONAL,OTHER,5.25148955331215e-05,51,6,26,21,True,0.03119384794667417
Tokyo Gas,TRADITIONAL,GVC,5.238480157211611e-05,22,3,11,11,True,0.00754341142638472
Sapir Venture Partners,TRADITIONAL,IVC,5.2202189463651574e-05,23,6,8,15,True,0.007517115282765827
Decarbonization Partners,GREEN_VC,OTHER,5.2171110030939986e-05,34,5,19,13,True,0.014607910808663197
Creas Impacto,GREEN_VC,Impact_VC,5.21141435512496e-05,9,3,6,3,True,0.0014591960194349888
Blue Ledge Capital,TRADITIONAL,IVC,5.209576361435074e-05,30,2,17,12,True,0.012190408685758073
Pente Capital,GREEN_VC,IVC,5.2010193684993416e-05,10,2,7,3,True,0.0016643261979197893
Elevate Capital,TRADITIONAL,IVC,5.1885393168560834e-05,26,6,18,8,True,0.008872402231823902
Otium Capital,GREEN_VC,IVC,5.1825142092321185e-05,17,5,13,4,True,0.003627759946462483
Aar Em Ventures,TRADITIONAL,OTHER,5.1819597220603666e-05,23,3,11,12,True,0.008083857166414172
RGREEN INVEST,GREEN_VC,IVC,5.18105840537867e-05,19,4,15,4,True,0.004144846724302936
Mika Ihamuotila,GREEN_VC,GVC,5.176472095411332e-05,19,2,8,10,True,0.005124707374457218
Fonterra Co-operative Group,TRADITIONAL,GVC,5.1710165549706266e-05,14,3,8,5,True,0.0027923489396841383
IMAS Foundation,GREEN_VC,GVC,5.1675341512693277e-05,62,7,29,30,True,0.04805806760680475
Aconterra Capital Partners,GREEN_VC,IVC,5.163870660918297e-05,6,2,4,2,True,0.0007745805991377446
Infinity Recycling,GREEN_VC,IVC,5.162905898382041e-05,19,4,9,10,True,0.005679196488220245
Harmonix Fund,GREEN_VC,OTHER,5.16164717104728e-05,13,3,7,6,True,0.002890522415786477
Peter Mertens,GREEN_VC,GVC,5.158214056587874e-05,14,4,9,5,True,0.0030949284339527247
Rancilio Cube,GREEN_VC,IVC,5.1519766423513744e-05,23,3,10,13,True,0.007934044029221116
Wing Venture Capital,GREEN_VC,IVC,5.148059894349776e-05,26,2,18,6,True,0.006846919659485202
First Imagine! Ventures,GREEN_VC,IVC,5.142640603528296e-05,16,9,11,5,True,0.003702701234540373
Senshu Ikeda Capital,TRADITIONAL,CVC,5.1393982922774275e-05,18,3,12,6,True,0.004676852445972459
Fiedler Capital,TRADITIONAL,IVC,5.131179804828563e-05,17,4,11,5,True,0.0036944494594765656
Fund F,GREEN_VC,IVC,5.119007153784494e-05,17,3,16,0,False,0.000870231216143364
Dara Holdings,GREEN_VC,GVC,5.117137976894041e-05,32,3,25,7,True,0.010643646991939605
Yoav Lurie,GREEN_VC,GVC,5.111299128927163e-05,35,2,26,8,True,0.012420456883293006
Bitspiration Booster,GREEN_VC,IVC,5.10890101840844e-05,10,4,7,3,True,0.0016348483258907009
İnci Holding,TRADITIONAL,OTHER,5.087993428499535e-05,22,3,17,5,True,0.005495032902779497
xista science ventures,GREEN_VC,IVC,5.0878954546913995e-05,11,3,9,2,True,0.00152636863640742
Nordstar Partners,TRADITIONAL,IVC,5.084478112824338e-05,27,3,14,12,True,0.00991473232000746
43North,TRADITIONAL,OTHER,5.08033898456197e-05,17,3,10,7,True,0.004470698306414534
Fenghe Capital,TRADITIONAL,OTHER,5.076819819679289e-05,25,6,17,8,True,0.008224448107880448
NC Tweener Fund,GREEN_VC,GVC,5.068842925094154e-05,15,5,5,10,True,0.0033454363305621413
IAN Fund,GREEN_VC,IVC,5.0682684957374206e-05,12,4,5,7,True,0.002432768877953962
Trailhead Capital,TRADITIONAL,OTHER,5.065163456467601e-05,35,7,28,6,True,0.01028228181662923
South Pole Carbon Asset Management,GREEN_VC,Impact_VC,5.058025139509968e-05,12,4,7,5,True,0.0024278520669647847
Draper Cygnus,GREEN_VC,IVC,5.0562506896266316e-05,31,8,19,11,True,0.012135001655103915
Giza Polish Ventures,TRADITIONAL,GVC,5.045225174863478e-05,6,2,6,0,False,0.00035316576224044346
Bloomsbury Natural Capital,GREEN_VC,GVC,5.0390502824651786e-05,8,2,6,2,True,0.0010582005593176875
Waterpoint Lane,GREEN_VC,IVC,5.036316708243711e-05,14,5,9,5,True,0.003021790024946227
T.R.de Vries Beheer B.V,TRADITIONAL,OTHER,5.03240152324382e-05,9,2,6,3,True,0.0014090724265082696
Borski Fund,GREEN_VC,Impact_VC,5.027900260824737e-05,22,3,14,8,True,0.006787665352113395
Grazia Equity,GREEN_VC,GVC,5.0237537483329376e-05,30,4,17,13,True,0.012659859445799003
Reliance Industries,TRADITIONAL,GVC,5.017297883281008e-05,18,6,10,7,True,0.004415222137287287
GLP,GREEN_VC,IVC,5.012900305737948e-05,20,3,14,6,True,0.005263545321024845
Amand Ventures,TRADITIONAL,OTHER,5.0041245689064075e-05,15,2,11,3,True,0.0024019797930750755
Nissan Motor,TRADITIONAL,GVC,5.003299977289387e-05,21,3,9,12,True,0.006504289970476204
Autodesk,TRADITIONAL,OTHER,5.0006795810709156e-05,28,4,13,12,True,0.009101236837549065
Partnership Fund for New York City,GREEN_VC,Impact_VC,4.99829151092426e-05,43,3,23,14,True,0.017993849439327334
ENGIE Rassembleurs d'Energies,GREEN_VC,GVC,4.997193004759471e-05,10,3,9,1,True,0.0009994386009518942
Wolfman.One,TRADITIONAL,IVC,4.9944851415608536e-05,20,5,13,7,True,0.005593823358548156
Constellation Capital,TRADITIONAL,IVC,4.985891546688404e-05,27,3,18,8,True,0.008525874544837171
TK & Partners,TRADITIONAL,OTHER,4.980763713379037e-05,12,3,9,3,True,0.0019923054853516146
Delivery Hero Ventures,GREEN_VC,OTHER,4.9684946502416585e-05,22,4,13,8,True,0.00626030325930449
Hundreds Capital,TRADITIONAL,IVC,4.9654526448658466e-05,4,2,1,2,True,0.00029792715869195077
RITZ Venture Capital,GREEN_VC,OTHER,4.964612735720048e-05,16,4,10,5,True,0.003276644405575232
Steel Atlas,GREEN_VC,IVC,4.960707198777031e-05,29,2,12,17,True,0.011608054845138252
Orillion,GREEN_VC,GVC,4.953899987115502e-05,9,2,6,3,True,0.0013870919963923406
Matthew Cauble,GREEN_VC,GVC,4.953622547087993e-05,22,2,16,6,True,0.005894810831034712
Emissions Reduction Alberta,GREEN_VC,GVC,4.948754570415274e-05,23,14,11,12,True,0.007720057129847828
HSBC Holdings,TRADITIONAL,GVC,4.9393566209211e-05,17,3,9,7,True,0.00395148529673688
Aéroports de Paris,TRADITIONAL,GVC,4.932481605906722e-05,13,3,8,5,True,0.00266354006718963
High Growth Robotics,GREEN_VC,IVC,4.912530191399559e-05,14,6,11,3,True,0.0023580144918717884
Empirical Ventures,GREEN_VC,IVC,4.911166964925627e-05,21,4,14,6,True,0.005156725313171909
ND Capital,TRADITIONAL,IVC,4.906803367296791e-05,23,9,16,7,True,0.006673252579523636
Tennenbaum Capital Partners,TRADITIONAL,OTHER,4.904541769964217e-05,10,5,7,3,True,0.0015694533663885494
Crest Skill Partners,TRADITIONAL,OTHER,4.9010511201535685e-05,27,3,16,11,True,0.00999814428511328
Alamo Angels,TRADITIONAL,Angel_Network,4.897111879922757e-05,14,3,4,9,True,0.0024485559399613785
Globe Advisors Ventures,GREEN_VC,OTHER,4.889605248590531e-05,3,1,2,1,True,0.00029337631491543187
Kaleo Ventures,TRADITIONAL,IVC,4.8881378106315e-05,18,2,7,11,True,0.00469261229820624
Chiyoda,GREEN_VC,GVC,4.885663182440359e-05,36,3,25,11,True,0.015243269129213918
Applied Materials,TRADITIONAL,OTHER,4.885234708149497e-05,17,2,7,10,True,0.004299006543171557
Savannah Fund,GREEN_VC,IVC,4.8794309421161864e-05,19,2,14,4,True,0.00365957320658714
Suntory Beverage & Food,TRADITIONAL,OTHER,4.879101038346955e-05,14,2,8,6,True,0.0030738336541585817
Michigan Outdoor Innovation Fund,GREEN_VC,GVC,4.8723950539164484e-05,12,5,5,7,True,0.002338749625879895
Hyundai Venture Investment Corporation,TRADITIONAL,GVC,4.868811684786891e-05,10,3,6,4,True,0.0017040840896754119
AUM Ventures,TRADITIONAL,IVC,4.866512119229243e-05,10,2,4,6,True,0.001703279241730235
Insurtech Gateway,GREEN_VC,OTHER,4.850463222207697e-05,17,6,10,7,True,0.004268407635542774
Fika Ventures,GREEN_VC,IVC,4.846665616357722e-05,20,3,12,7,True,0.005040532241012031
ValueAct Capital Management,TRADITIONAL,IVC,4.8364607551881315e-05,22,7,12,10,True,0.006916138879919029
Venturance Alternative Assets,GREEN_VC,OTHER,4.8334160307945455e-05,29,8,22,7,True,0.008893485496661963
Fonds de solidarite FTQ,GREEN_VC,GVC,4.833405980522067e-05,21,6,17,4,True,0.004350065382469861
SiteGround Capital,GREEN_VC,OTHER,4.830991467701634e-05,35,4,23,11,True,0.013913255426980707
Myriad Venture Partners,TRADITIONAL,IVC,4.8296828726823066e-05,24,5,15,9,True,0.00772749259629169
Tap Angel Partners,TRADITIONAL,OTHER,4.8230515529385766e-05,8,4,1,7,True,0.0007716882484701723
Hatch,TRADITIONAL,OTHER,4.820805399750725e-05,9,2,8,1,True,0.0008677449719551305
Very Serious Ventures,TRADITIONAL,IVC,4.8206348882750196e-05,15,5,10,5,True,0.003181619026261513
Formation 8,GREEN_VC,IVC,4.8187703006803214e-05,13,6,7,4,True,0.0019275081202721285
Wolfsburg,GREEN_VC,OTHER,4.807232259072082e-05,10,3,8,2,True,0.0012979527099494623
Zu na mi,GREEN_VC,GVC,4.807232259072082e-05,10,1,8,2,True,0.0012979527099494623
Bryan Trudel,GREEN_VC,GVC,4.801553620717422e-05,12,1,10,1,True,0.0010563417965578329
Purpose Asset Management,ESG_ALIGNED,OTHER,4.801553620717422e-05,12,2,11,1,True,0.0011523728689721814
Mark McGregor,GREEN_VC,GVC,4.801553620717422e-05,12,1,10,1,True,0.0010563417965578329
Faye McGregor,GREEN_VC,GVC,4.801553620717422e-05,12,1,10,1,True,0.0010563417965578329
Solid Wood Investment,GREEN_VC,OTHER,4.797264415046772e-05,3,2,2,1,True,0.00028783586490280634
Yuze Investment Management,GREEN_VC,GVC,4.796907243479252e-05,32,3,22,10,True,0.012136175326002507
Grove Ventures,TRADITIONAL,IVC,4.792255735970339e-05,19,6,8,11,True,0.005175636194847967
Daiichi Life Group,TRADITIONAL,GVC,4.788815662543681e-05,24,5,15,9,True,0.007662105060069889
Asenza Capital,TRADITIONAL,IVC,4.7869433958617e-05,35,2,25,10,True,0.013690658112164463
Sofimac Innovation,GREEN_VC,GVC,4.786205000182135e-05,15,5,11,4,True,0.002871723000109281
Asian Development Bank,GREEN_VC,GVC,4.7853265419093934e-05,13,5,7,5,True,0.002296956740116509
GoAhead Ventures,GREEN_VC,IVC,4.78249510468229e-05,18,5,9,8,True,0.004304245594214062
Venture to Future Fund,GREEN_VC,GVC,4.781709751138209e-05,5,2,3,2,True,0.0005738051701365851
BuildTech VC,GREEN_VC,IVC,4.7777209566284966e-05,12,3,5,6,True,0.0020066428017839685
Sage Hill Investors,TRADITIONAL,IVC,4.7750611664644385e-05,27,4,18,8,True,0.00816535459465419
ESA Business Incubation Centre Bavaria,GREEN_VC,GVC,4.773236868147867e-05,10,17,5,5,True,0.001718365272533232
UK Innovation Agency,GREEN_VC,GVC,4.769584256552835e-05,6,2,5,1,True,0.0005723501107863402
iiM,GREEN_VC,GVC,4.76724408657678e-05,12,2,5,7,True,0.0022882771615568547
Bezos Expeditions,GREEN_VC,OTHER,4.766002570366183e-05,32,4,14,17,True,0.012868206939988695
HNVR Technology Investment Management,GREEN_VC,IVC,4.764177418675087e-05,24,4,15,9,True,0.007622683869880138
Manta Ray Ventures,GREEN_VC,Impact_VC,4.7626637446300335e-05,25,5,14,10,True,0.007858395178639555
Yueda Capital,GREEN_VC,GVC,4.761271177588579e-05,11,2,7,4,True,0.0019045084710354314
Junxingjian VC,GREEN_VC,GVC,4.759381251527932e-05,10,2,6,4,True,0.001665783438034776
Klaveness Marine,TRADITIONAL,OTHER,4.7592194863015285e-05,7,3,4,3,True,0.0009518438972603057
Finadvice,TRADITIONAL,IVC,4.7574989756947464e-05,24,2,16,8,True,0.007278973432812962
