Company ID,Companies,Business Status,Ownership Status,Success Class,Success Probability,IPO Probability,M&A Probability,Total Raised,outcome,n_investors_matched,pct_green,pct_esg,pct_traditional,pct_gvc,pct_ivc,pct_cvc,pct_impact,green_quartile
434313-55,CH-Bioforce,Generating Revenue,Privately Held (backing),,,,,0.09,Active / Private,3,100.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,"Q4
(75-100%)"
509251-42,Coppter Water Technologies,Generating Revenue,Privately Held (backing),,,,,2.47,Active / Private,3,100.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,"Q4
(75-100%)"
819984-70,Magnefy,Generating Revenue,Privately Held (backing),Success,57.0,2.0,55.0,1.74,Active / Private,17,70.58823529411765,0.0,29.411764705882355,29.411764705882355,41.17647058823529,0.0,0.0,"Q3
(50-75%)"
535161-97,Cestore,Generating Revenue,Privately Held (backing),,,,,0.04,Active / Private,2,100.0,0.0,0.0,50.0,0.0,0.0,0.0,"Q4
(75-100%)"
223023-16,Carbon Upcycling,Generating Revenue,Privately Held (backing),Success,88.0,6.0,82.0,54.22,Active / Private,50,80.0,2.0,18.0,48.0,14.000000000000002,4.0,2.0,"Q3
(50-75%)"
472066-84,Recycle.Green,Generating Revenue,Privately Held (backing),,,,,0.03,Active / Private,2,50.0,50.0,0.0,50.0,50.0,0.0,0.0,"Q1
(0-25%)"
459727-30,Susteon,Generating Revenue,Privately Held (backing),,,,,0.07,Active / Private,6,83.33333333333334,0.0,16.666666666666664,33.33333333333333,50.0,0.0,0.0,"Q3
(50-75%)"
465808-51,IONATE,Generating Revenue,Privately Held (backing),Success,79.0,12.0,67.0,20.54,Active / Private,23,86.95652173913044,4.3478260869565215,8.695652173913043,43.47826086956522,21.73913043478261,4.3478260869565215,0.0,"Q4
(75-100%)"
633332-08,Hangyang Energy Management Service,Generating Revenue,Privately Held (backing),,,,,,Active / Private,2,100.0,0.0,0.0,100.0,0.0,0.0,0.0,"Q4
(75-100%)"
343596-43,Retein,Generating Revenue,Privately Held (backing),No Exit,21.0,1.0,20.0,2.32,Active / Private,12,66.66666666666666,0.0,33.33333333333333,33.33333333333333,33.33333333333333,8.333333333333332,8.333333333333332,"Q2
(25-50%)"
234845-29,Cowboy Cricket Farms,Out of Business,Out of Business,,,,,0.02,Failed,6,33.33333333333333,0.0,66.66666666666666,33.33333333333333,16.666666666666664,0.0,0.0,"Q1
(0-25%)"
