,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],model,n,pseudo_r2,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,p,-log2(p)
Intercept,-63.35069821359333,294449.03601349326,-0.00021514995963746426,0.9998283351702723,-577172.8565671977,577046.1551707706,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(inv_year)[T.2013],12.183954671327536,686.2052072498481,0.017755555543155978,0.9858338607031439,-1332.7535375422183,1357.1214468848732,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
C(inv_year)[T.2014],14.023140106708924,686.2045325380348,0.020435802216056703,0.9836957237695265,-1330.9130296959827,1358.9593099094006,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
C(inv_year)[T.2015],14.874179676311067,686.2045068750951,0.021676015717306426,0.9827063959623664,-1330.0619398279432,1359.8102991805654,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
C(inv_year)[T.2016],39.37077689084295,115638.30553486325,0.00034046483739744214,0.9997283483679925,-226607.54330467992,226686.2848584616,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
C(inv_year)[T.2017],39.249287634795245,115638.30553482712,0.0003394142404047457,0.9997291866230641,-226607.66479386514,226686.16336913474,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
C(inv_year)[T.2018],39.391545972208604,115638.30553476646,0.0003406444412173231,0.9997282050648858,-226607.52253540885,226686.30562735326,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
C(inv_year)[T.2019],39.296139824674306,115638.30553478461,0.0003398194019096364,0.9997288633509734,-226607.61794159195,226686.2102212413,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
C(inv_year)[T.2020],39.093928073953734,115638.30553481386,0.0003380707447514802,0.9997302585774419,-226607.8201534,226686.0080095479,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
C(inv_year)[T.2021],38.79869452444548,115638.30553479682,0.00033551766730765983,0.9997322956384013,-226608.11538691612,226685.71277596502,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
C(inv_year)[T.2022],38.50242697524278,115638.30553486124,0.000332955648192506,0.9997343398337836,-226608.4116545916,226685.41650854205,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
C(inv_year)[T.2023],38.0935709665614,115638.30553503384,0.0003294200030890331,0.9997371608702694,-226608.82051093856,226685.0076528717,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
C(inv_year)[T.2024],37.882774547798796,115638.30553506101,0.00032759710869607054,0.999738615329483,-226609.03130741057,226684.79685650615,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
C(inv_year)[T.2025],38.0164380402486,115638.30553498107,0.0003287529842673842,0.9997376930742602,-226608.89764376145,226684.93051984193,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
C(inv_year)[T.2026],38.08015384570571,115638.30553502325,0.00032930397647665645,0.9997372534461071,-226608.83392803863,226684.99423573006,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
C(region)[T.Americas],0.6913236037932193,0.2679132879402786,2.5804005807555335,0.009868576733378804,0.16622320845056415,1.2164239991358745,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
C(region)[T.Asia],1.15064667232307,0.2602790375206285,4.420819606849342,9.832723504659197e-06,0.6405091328518887,1.660784211794251,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
C(region)[T.Europe],0.8534859332136384,0.2639610639938523,3.2333781365327288,0.0012233551698808114,0.33613175446481547,1.3708401119624614,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
C(region)[T.Middle East],1.071184627552692,0.29121023721139144,3.678389323844793,0.00023471149972061918,0.5004230506889988,1.641946204416385,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
