Companies,outcome,pct_green,pct_traditional,pct_ivc,pct_gvc,pct_cvc,pct_impact,Total Raised,exited,failed,pure_green,pure_trad,pure_ivc,mixed_syn,syndicate,hq_country,hq_region,first_ym,n_rounds,avg_deal_size_M,n_communities,cross_community,specter_novelty,bge_novelty,log_capital,deal_year,is_us,cpu_narrow,cpu_broad,cpu_sentiment,country_cpu_col,cpu_country,CPU_pos_US,CPU_neg_US,oil_price,interest_rate,vix,cpu_narrow_z,cpu_broad_z,cpu_country_z,CPU_pos_US_z,CPU_neg_US_z,oil_price_z,interest_rate_z,vix_z,specter_novelty_z,bge_novelty_z
PEEL Lab,Active / Private,45.45454545454545,54.54545454545454,9.090909090909092,18.181818181818183,9.090909090909092,0.0,0.09,0,0,0,0,0,1,mixed,Japan,Asia,2023-07,12.0,0.09,3.0,1,0.4447,0.5301,0.08617769624105233,2023.0,0,326.6756969429871,222.4917869442998,,CPU_US,326.6756969429871,196.00541816579224,65.33513938859743,81.8,5.12,13.63,-0.09742844807016739,-0.2945179276065961,0.06036139289899058,0.09624833604970029,-1.0984749003483856,0.8504436769864758,1.6951037680154768,-0.8597059748696675,0.2773243575121981,0.5697754650642621
PeelPioneers,Active / Private,91.66666666666666,8.333333333333332,8.333333333333332,75.0,0.0,0.0,18.52,0,0,1,0,0,0,green,Netherlands,Europe,2018-03,9.0,8.923333333333334,4.0,1,0.6092,0.6177,2.9714395809849465,2018.0,0,208.4785522331171,132.2254628402504,88.20136440826732,CPU_DEU,108.3847449226154,163.9135756424523,213.1519564522115,64.87,1.51,19.97,-0.8343955673797568,-1.215443844692883,-1.1990330152928435,-0.16694123412717132,0.9551840765803924,-0.0686291066051331,-0.20400232408087132,0.03795751850474613,2.3056761284282254,1.5344359281713502
PEF Technologies,Failed,100.0,0.0,50.0,50.0,0.0,0.0,0.34,0,1,1,0,0,1,green,Netherlands,Europe,2019-03,4.0,0.16999999999999998,2.0,1,0.5892,0.5974,0.29266961396282004,2019.0,0,298.9919218365096,186.8819307882431,151.1870606033128,CPU_DEU,114.6821240239123,146.3614028427712,114.1883611080254,60.19,2.41,13.71,-0.27003864133595756,-0.6578210726424547,-1.1627013031763591,-0.31088899317087554,-0.4197438917323742,-0.32269057306755117,0.2694590285193263,-0.8483789907261418,2.059068010383723,1.3108901815837488
PEFtrust,Active / Private,50.0,50.0,0.0,33.33333333333333,0.0,0.0,1.0,0,0,0,0,0,1,mixed,France,Europe,2022-09,3.0,1.0,0.0,0,0.332,0.3229,0.6931471805599453,2022.0,0,399.5879396000383,305.7251437454912,,CPU_FRA,399.5879396000383,239.75276376002296,79.91758792000766,79.91,2.56,31.62,0.3571842717655409,0.554655407024283,0.4810168064245449,0.45502627393066747,-0.89587700298435,0.7478419309151149,0.3483692539526925,1.6874495844056805,-1.1123123876685692,-1.7119328449333246
Pelm,Failed,50.0,50.0,50.0,0.0,0.0,0.0,1.34,0,1,0,0,0,1,mixed,United States,Americas,2022-01,3.0,0.67,1.0,0,0.4692,0.4495,0.8501509293696101,2022.0,1,517.3933435968448,313.3525284297924,,CPU_US,517.3933435968448,310.43600615810686,103.47866871936897,89.16,0.08,24.83,1.0917088614731565,0.6324724257749653,1.1606760670360992,1.0347091691065853,-0.5685365416555882,1.2499933336453208,-0.9562798065456296,0.726071805223934,0.5794193021167131,-0.3178002578402046
Perceptual Robotics (UK),Active / Private,64.70588235294117,23.52941176470588,23.52941176470588,29.411764705882355,5.88235294117647,5.88235294117647,6.92,0,0,1,0,0,1,green,United Kingdom,Europe,2016-01,11.0,1.4166666666666667,2.0,1,0.3165,0.3034,2.0693912058263346,2016.0,0,104.5998543485994,114.6800555372952,138.5947597538382,CPU_UK,105.1350466341186,95.2869117475804,137.2030019572769,33.66,0.34,20.2,-1.4820862110539224,-1.394447703235978,-1.2177816249578997,-0.7297578489733851,-0.09999526826880306,-1.7629150827359148,-0.8195020824611281,0.07052259791738266,-1.3034336791530583,-1.926668906926341
Perch Mobility,Active / Private,25.0,50.0,75.0,0.0,0.0,0.0,0.18,0,0,0,0,1,1,ivc,United States,Americas,2019-03,3.0,0.18,3.0,1,0.3858,0.5698,0.16551443847757338,2019.0,1,298.9919218365096,186.8819307882431,151.1870606033128,CPU_US,156.6044051822556,146.3614028427712,114.1883611080254,60.19,2.41,13.71,-0.27003864133595756,-0.6578210726424547,-0.9208374696971949,-0.31088899317087554,-0.4197438917323742,-0.32269057306755117,0.2694590285193263,-0.8483789907261418,-0.44893655012885986,1.006956063070556
Peregrine Hydrogen,Active / Private,83.33333333333334,16.666666666666664,50.0,33.33333333333333,0.0,0.0,13.4,0,0,1,0,0,1,green,United States,Americas,2023-09,2.0,6.699999999999999,4.0,1,0.4051,0.5118,2.667228206581955,2023.0,1,304.6888954435193,242.1260214431249,,CPU_US,304.6888954435193,60.93777908870386,182.81333726611157,90.77,5.33,17.52,-0.2345176290623836,-0.09420318574034839,-0.06648790894412672,-1.011459762905661,0.5336814432748447,1.337394821039443,1.8055780836221895,-0.3089313708907292,-0.2109597162159151,0.3682539299631241
Perennial,Active / Private,58.82352941176471,35.294117647058826,35.294117647058826,35.294117647058826,0.0,0.0,22.12,0,0,0,0,0,1,mixed,United States,Americas,2016-01,7.0,3.69,4.0,1,0.3786,0.4158,3.1406980438041767,2016.0,1,104.5998543485994,114.6800555372952,138.5947597538382,CPU_US,102.0916487313053,95.2869117475804,137.2030019572769,33.66,0.34,20.2,-1.4820862110539224,-1.394447703235978,-1.2353400178515646,-0.7297578489733851,-0.09999526826880306,-1.7629150827359148,-0.8195020824611281,0.07052259791738266,-0.5377154726248803,-0.6889082213871095
Perennial (Beverages),Failed,62.5,37.5,62.5,12.5,12.5,0.0,2.57,0,1,1,0,1,0,green,United States,Americas,2016-02,6.0,0.6425,5.0,1,0.4124,0.5043,1.2725655957915476,2016.0,1,102.2369088006319,117.194737261242,108.4478190633213,CPU_US,73.35367995410363,107.7933490703692,68.37251409433887,32.74,0.38,20.55,-1.4968193349195245,-1.3687921157752951,-1.4011390894384697,-0.6271908536057972,-1.0562758329171211,-1.8128587898182702,-0.798459355678897,0.12007815354530792,-0.12094775312967228,0.28566313688888645
